"Place of birth and period of immigration by gender and age: Canada"
"Frequency: Occasional"
"Table: 98-10-0349-01"
"Release date: 2023-06-21"
"Geography: Canada, Province or territory, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"
"Universe: Immigrant population in private households, 2021 Census — 25% Sample data"
"Variable List: Place of birth (290), Age (15C), Gender (3), Statistics (2), Period of immigration (8)"

"Geography","Age (15C) 1","Gender (3) 2 3","Statistics (2)","Place of birth (290) 4","Period of immigration (8)","2021"
"Halifax (CMA), N.S. i12","Total - Age","Total - Gender","2021 Counts","Greenland","Total immigrant population 5 6","0"
,,,,,"Before 1980","0"
,,,,,"1980 to 1990","0"
,,,,,"1991 to 2000","0"
,,,,,"2001 to 2005","0"
,,,,,"2006 to 2010","0"
,,,,,"2011 to 2015","0"
,,,,,"2016 to 2021 7","0"
,,,,"Saint Pierre and Miquelon","Total immigrant population 5 6","35"
,,,,,"Before 1980","25"
,,,,,"1980 to 1990","0"
,,,,,"1991 to 2000","0"
,,,,,"2001 to 2005","0"
,,,,,"2006 to 2010","0"
,,,,,"2011 to 2015","0"
,,,,,"2016 to 2021 7","0"
,,,,"United States of America","Total immigrant population 5 6","3,680"
,,,,,"Before 1980","1,340"
,,,,,"1980 to 1990","460"
,,,,,"1991 to 2000","305"
,,,,,"2001 to 2005","170"
,,,,,"2006 to 2010","475"
,,,,,"2011 to 2015","375"
,,,,,"2016 to 2021 7","555"
,,,,"Belize","Total immigrant population 5 6","60"
,,,,,"Before 1980","15"
,,,,,"1980 to 1990","10"
,,,,,"1991 to 2000","20"
,,,,,"2001 to 2005","0"
,,,,,"2006 to 2010","0"
,,,,,"2011 to 2015","10"
,,,,,"2016 to 2021 7","0"
,,,,"Costa Rica","Total immigrant population 5 6","15"
,,,,,"Before 1980","0"
,,,,,"1980 to 1990","0"
,,,,,"1991 to 2000","0"
,,,,,"2001 to 2005","0"
,,,,,"2006 to 2010","0"
,,,,,"2011 to 2015","0"
,,,,,"2016 to 2021 7","10"
,,,,"El Salvador","Total immigrant population 5 6","60"
,,,,,"Before 1980","0"
,,,,,"1980 to 1990","30"
,,,,,"1991 to 2000","15"
,,,,,"2001 to 2005","0"
,,,,,"2006 to 2010","15"
,,,,,"2011 to 2015","0"
,,,,,"2016 to 2021 7","0"
,,,,"Guatemala","Total immigrant population 5 6","80"
,,,,,"Before 1980","0"
,,,,,"1980 to 1990","10"
,,,,,"1991 to 2000","20"
,,,,,"2001 to 2005","0"
,,,,,"2006 to 2010","0"
,,,,,"2011 to 2015","0"
,,,,,"2016 to 2021 7","40"
,,,,"Honduras","Total immigrant population 5 6","0"
,,,,,"Before 1980","0"
,,,,,"1980 to 1990","0"
,,,,,"1991 to 2000","0"
,,,,,"2001 to 2005","0"
,,,,,"2006 to 2010","0"
,,,,,"2011 to 2015","0"
,,,,,"2016 to 2021 7","0"
,,,,"Mexico","Total immigrant population 5 6","260"
,,,,,"Before 1980","20"
,,,,,"1980 to 1990","15"
,,,,,"1991 to 2000","20"
,,,,,"2001 to 2005","30"
,,,,,"2006 to 2010","55"
,,,,,"2011 to 2015","60"
,,,,,"2016 to 2021 7","55"
,,,,"Nicaragua","Total immigrant population 5 6","30"
,,,,,"Before 1980","0"
,,,,,"1980 to 1990","10"
,,,,,"1991 to 2000","10"
,,,,,"2001 to 2005","0"
,,,,,"2006 to 2010","0"
,,,,,"2011 to 2015","0"
,,,,,"2016 to 2021 7","0"
,,,,"Panama","Total immigrant population 5 6","0"
,,,,,"Before 1980","0"
,,,,,"1980 to 1990","0"
,,,,,"1991 to 2000","0"
,,,,,"2001 to 2005","0"
,,,,,"2006 to 2010","0"
,,,,,"2011 to 2015","0"
,,,,,"2016 to 2021 7","0"
,,,,"Anguilla","Total immigrant population 5 6","0"
,,,,,"Before 1980","0"
,,,,,"1980 to 1990","0"
,,,,,"1991 to 2000","0"
,,,,,"2001 to 2005","0"
,,,,,"2006 to 2010","0"
,,,,,"2011 to 2015","0"
,,,,,"2016 to 2021 7","0"
,,,,"Antigua and Barbuda","Total immigrant population 5 6","45"
,,,,,"Before 1980","15"
,,,,,"1980 to 1990","10"
,,,,,"1991 to 2000","0"
,,,,,"2001 to 2005","0"
,,,,,"2006 to 2010","0"
,,,,,"2011 to 2015","10"
,,,,,"2016 to 2021 7","20"
,,,,"Aruba","Total immigrant population 5 6","0"
,,,,,"Before 1980","0"
,,,,,"1980 to 1990","0"
,,,,,"1991 to 2000","0"
,,,,,"2001 to 2005","0"
,,,,,"2006 to 2010","0"
,,,,,"2011 to 2015","0"
,,,,,"2016 to 2021 7","0"
,,,,"Bahamas","Total immigrant population 5 6","135"
,,,,,"Before 1980","0"
,,,,,"1980 to 1990","0"
,,,,,"1991 to 2000","0"
,,,,,"2001 to 2005","0"
,,,,,"2006 to 2010","10"
,,,,,"2011 to 2015","25"
,,,,,"2016 to 2021 7","90"
,,,,"Barbados","Total immigrant population 5 6","70"
,,,,,"Before 1980","25"
,,,,,"1980 to 1990","0"
,,,,,"1991 to 2000","0"
,,,,,"2001 to 2005","0"
,,,,,"2006 to 2010","15"
,,,,,"2011 to 2015","0"
,,,,,"2016 to 2021 7","20"
,,,,"Bermuda","Total immigrant population 5 6","85"
,,,,,"Before 1980","20"
,,,,,"1980 to 1990","0"
,,,,,"1991 to 2000","10"
,,,,,"2001 to 2005","10"
,,,,,"2006 to 2010","0"
,,,,,"2011 to 2015","30"
,,,,,"2016 to 2021 7","10"
,,,,"Bonaire, Sint Eustatius and Saba","Total immigrant population 5 6","0"
,,,,,"Before 1980","0"
,,,,,"1980 to 1990","0"
,,,,,"1991 to 2000","0"
,,,,,"2001 to 2005","0"
,,,,,"2006 to 2010","0"
,,,,,"2011 to 2015","0"
,,,,,"2016 to 2021 7","0"
,,,,"Cayman Islands","Total immigrant population 5 6","10"
,,,,,"Before 1980","0"
,,,,,"1980 to 1990","0"
,,,,,"1991 to 2000","0"
,,,,,"2001 to 2005","0"
,,,,,"2006 to 2010","0"
,,,,,"2011 to 2015","0"
