"First official language spoken by language spoken most often at home: Canada, provinces and territories, census metropolitan areas and census agglomerations with parts"
"Frequency: Occasional"
"Table: 98-10-0192-01"
"Release date: 2022-08-17"
"Geography: Canada, Province or territory, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"
"Universe: All persons, excluding institutional residents, 2021 Census — 100% data"
"Variable List: Language spoken most often at home (331), Gender (3), Age (15A), First official language spoken (5)"

"Geography","Gender (3) 1 2","Age (15A) 3","Language spoken most often at home (331) 4","First official language spoken (5) 5","2021"
"Corner Brook (CA), N.L. i3","Total - Gender","Total - Age","English","Total - First official language spoken 6","28,810"
,,,"French",,"35"
,,,"Indigenous languages 7",,"0"
,,,"Arabic",,"10"
,,,"Vietnamese",,"20"
,,,"Tagalog (Pilipino, Filipino)",,"50"
,,,"Haitian Creole",,"0"
,,,"Tamil",,"0"
,,,"Polish",,"0"
,,,"Russian",,"10"
,,,"Serbo-Croatian, n.i.e.",,"0"
,,,"Ukrainian",,"0"
,,,"German",,"0"
,,,"Dutch",,"0"
,,,"Greek",,"0"
,,,"Bengali",,"20"
,,,"Gujarati",,"5"
,,,"Hindi",,"10"
,,,"Punjabi (Panjabi)",,"20"
,,,"Urdu",,"15"
,,,"Iranian Persian",,"5"
,,,"Persian (Farsi), n.o.s.",,"5"
,,,"Italian",,"0"
,,,"Portuguese",,"0"
,,,"Romanian",,"0"
,,,"Spanish",,"15"
,,,"Japanese",,"0"
,,,"Korean",,"0"
,,,"Mandarin",,"10"
,,,"Yue (Cantonese)",,"10"
,,,"Turkish",,"0"
,,,"Hungarian",,"0"
"Gander (CA), N.L. i4",,,"English",,"13,070"
,,,"French",,"25"
,,,"Indigenous languages 7",,"0"
,,,"Arabic",,"45"
,,,"Vietnamese",,"0"
,,,"Tagalog (Pilipino, Filipino)",,"10"
,,,"Haitian Creole",,"0"
,,,"Tamil",,"0"
,,,"Polish",,"0"
,,,"Russian",,"0"
,,,"Serbo-Croatian, n.i.e.",,"0"
,,,"Ukrainian",,"0"
,,,"German",,"0"
,,,"Dutch",,"0"
,,,"Greek",,"0"
,,,"Bengali",,"0"
,,,"Gujarati",,"0"
,,,"Hindi",,"0"
,,,"Punjabi (Panjabi)",,"25"
,,,"Urdu",,"0"
,,,"Iranian Persian",,"0"
,,,"Persian (Farsi), n.o.s.",,"0"
,,,"Italian",,"0"
,,,"Portuguese",,"0"
,,,"Romanian",,"0"
,,,"Spanish",,"10"
,,,"Japanese",,"0"
,,,"Korean",,"0"
,,,"Mandarin",,"0"
,,,"Yue (Cantonese)",,"5"
,,,"Turkish",,"0"
,,,"Hungarian",,"0"
"Grand Falls-Windsor (CA), N.L. i5",,,"English",,"13,535"
,,,"French",,"15"
,,,"Indigenous languages 7",,"0"
,,,"Arabic",,"0"
,,,"Vietnamese",,"0"
,,,"Tagalog (Pilipino, Filipino)",,"10"
,,,"Haitian Creole",,"0"
,,,"Tamil",,"0"
,,,"Polish",,"0"
,,,"Russian",,"0"
,,,"Serbo-Croatian, n.i.e.",,"0"
,,,"Ukrainian",,"0"
,,,"German",,"0"
,,,"Dutch",,"0"
,,,"Greek",,"0"
,,,"Bengali",,"0"
,,,"Gujarati",,"0"
,,,"Hindi",,"0"
,,,"Punjabi (Panjabi)",,"25"
,,,"Urdu",,"5"
,,,"Iranian Persian",,"0"
,,,"Persian (Farsi), n.o.s.",,"0"
,,,"Italian",,"0"
,,,"Portuguese",,"0"
,,,"Romanian",,"0"
,,,"Spanish",,"0"
,,,"Japanese",,"0"
,,,"Korean",,"0"
,,,"Mandarin",,"0"
,,,"Yue (Cantonese)",,"15"
,,,"Turkish",,"0"
,,,"Hungarian",,"0"
"St. John's (CMA), N.L. i6",,,"English",,"203,295"
,,,"French",,"435"
,,,"Indigenous languages 7",,"5"
,,,"Arabic",,"880"
,,,"Vietnamese",,"55"
,,,"Tagalog (Pilipino, Filipino)",,"300"
,,,"Haitian Creole",,"0"
,,,"Tamil",,"55"
,,,"Polish",,"20"
,,,"Russian",,"100"
,,,"Serbo-Croatian, n.i.e.",,"0"
,,,"Ukrainian",,"15"
,,,"German",,"30"
,,,"Dutch",,"5"
,,,"Greek",,"5"
,,,"Bengali",,"300"
,,,"Gujarati",,"65"
,,,"Hindi",,"90"
,,,"Punjabi (Panjabi)",,"240"
,,,"Urdu",,"125"
,,,"Iranian Persian",,"250"
,,,"Persian (Farsi), n.o.s.",,"20"
,,,"Italian",,"5"
,,,"Portuguese",,"80"
,,,"Romanian",,"10"
,,,"Spanish",,"230"
,,,"Japanese",,"10"
,,,"Korean",,"55"
,,,"Mandarin",,"530"
,,,"Yue (Cantonese)",,"110"
,,,"Turkish",,"20"
,,,"Hungarian",,"10"
"Charlottetown (CA), P.E.I. i8",,,"English",,"69,605"
,,,"French",,"555"
,,,"Indigenous languages 7",,"0"
,,,"Arabic",,"535"
,,,"Vietnamese",,"510"
,,,"Tagalog (Pilipino, Filipino)",,"145"
,,,"Haitian Creole",,"0"
,,,"Tamil",,"20"
,,,"Polish",,"5"
,,,"Russian",,"150"
,,,"Serbo-Croatian, n.i.e.",,"0"
,,,"Ukrainian",,"20"
,,,"German",,"45"
,,,"Dutch",,"60"
,,,"Greek",,"0"
,,,"Bengali",,"75"
,,,"Gujarati",,"180"
,,,"Hindi",,"115"
,,,"Punjabi (Panjabi)",,"710"
,,,"Urdu",,"25"
,,,"Iranian Persian",,"120"
,,,"Persian (Farsi), n.o.s.",,"10"
,,,"Italian",,"5"
,,,"Portuguese",,"65"
,,,"Romanian",,"15"
,,,"Spanish",,"215"
,,,"Japanese",,"25"
,,,"Korean",,"75"
,,,"Mandarin",,"1,865"
,,,"Yue (Cantonese)",,"180"
,,,"Turkish",,"50"
,,,"Hungarian",,"15"
"Summerside (CA), P.E.I. i9",,,"English",,"16,565"
,,,"French",,"260"
,,,"Indigenous languages 7",,"0"
,,,"Arabic",,"10"
,,,"Vietnamese",,"75"
,,,"Tagalog (Pilipino, Filipino)",,"215"
,,,"Haitian Creole",,"0"
,,,"Tamil",,"0"
,,,"Polish",,"0"
,,,"Russian",,"0"
,,,"Serbo-Croatian, n.i.e.",,"0"
,,,"Ukrainian",,"0"
,,,"German",,"5"
,,,"Dutch",,"0"
,,,"Greek",,"0"
,,,"Bengali",,"0"
,,,"Gujarati",,"5"
,,,"Hindi",,"10"
,,,"Punjabi (Panjabi)",,"250"
,,,"Urdu",,"0"
,,,"Iranian Persian",,"5"
,,,"Persian (Farsi), n.o.s.",,"0"
,,,"Italian",,"0"
,,,"Portuguese",,"15"
,,,"Romanian",,"0"
,,,"Spanish",,"30"
,,,"Japanese",,"0"
,,,"Korean",,"10"
,,,"Mandarin",,"35"
,,,"Yue (Cantonese)",,"75"
,,,"Turkish",,"0"
,,,"Hungarian",,"0"
"Cape Breton (CA), N.S. i11",,,"English",,"92,535"
,,,"French",,"200"
,,,"Indigenous languages 7",,"1,585"
,,,"Arabic",,"45"
,,,"Vietnamese",,"70"
,,,"Tagalog (Pilipino, Filipino)",,"85"
,,,"Haitian Creole",,"0"
,,,"Tamil",,"5"
,,,"Polish",,"5"
,,,"Russian",,"0"
,,,"Serbo-Croatian, n.i.e.",,"0"
,,,"Ukrainian",,"0"
,,,"German",,"15"
,,,"Dutch",,"15"
,,,"Greek",,"15"
,,,"Bengali",,"15"
,,,"Gujarati",,"30"
,,,"Hindi",,"75"
,,,"Punjabi (Panjabi)",,"470"
,,,"Urdu",,"50"
,,,"Iranian Persian",,"20"
,,,"Persian (Farsi), n.o.s.",,"0"
,,,"Italian",,"5"
,,,"Portuguese",,"5"
,,,"Romanian",,"0"
,,,"Spanish",,"30"
,,,"Japanese",,"5"
,,,"Korean",,"35"
,,,"Mandarin",,"285"
,,,"Yue (Cantonese)",,"20"
,,,"Turkish",,"0"
,,,"Hungarian",,"0"
"Halifax (CMA), N.S. i12",,,"English",,"420,230"
